#k-distance eigenvalue[eV]
1.32708188 -35.10060000
1.33537615 -35.09990000
1.34367040 -35.09890000
1.35196468 -35.09770000
1.36025893 -35.09630000
1.36855320 -35.09470000
1.37684746 -35.09290000
1.38514173 -35.09100000
1.39343598 -35.08900000
1.40173026 -35.08690000
1.41002451 -35.08470000
1.41831878 -35.08240000
1.42661304 -35.08000000
1.43490731 -35.07760000
1.44320156 -35.07510000
1.45149584 -35.07260000
1.45979009 -35.07000000
1.46808436 -35.06750000
1.47637862 -35.06480000
1.48467289 -35.06220000
1.49296714 -35.05950000
1.50126141 -35.05690000
1.50955567 -35.05420000
1.51784994 -35.05150000
1.52614419 -35.04880000
1.53443847 -35.04610000
1.54273272 -35.04340000
1.55102699 -35.04070000
1.55932125 -35.03800000
1.56761552 -35.03530000
1.57590977 -35.03260000
1.58420405 -35.03000000
1.59249830 -35.02730000
1.60079257 -35.02470000
1.60908683 -35.02210000
1.61738110 -35.01950000
1.62567535 -35.01700000
1.63396963 -35.01450000
1.64226388 -35.01200000
1.65055815 -35.00960000
1.65885241 -35.00720000
1.66714668 -35.00480000
1.67544093 -35.00250000
1.68373520 -35.00020000
1.69202946 -34.99790000
1.70032373 -34.99570000
1.70861798 -34.99360000
1.71691226 -34.99150000
1.72520651 -34.98940000
1.73350078 -34.98930000
1.74179504 -34.98950000
1.75008931 -34.98960000
1.75838356 -34.98970000
1.76667784 -34.98990000
1.77497209 -34.99000000
1.78326636 -34.99010000
1.79156062 -34.99020000
1.79985489 -34.99040000
1.80814914 -34.99050000
1.81644342 -34.99060000
1.82473767 -34.99070000
1.83303194 -34.99080000
1.84132619 -34.99090000
1.84962047 -34.99100000
1.85791472 -34.99100000
1.86620899 -34.99110000
1.87450325 -34.99120000
1.88279752 -34.99120000
1.89109177 -34.99130000
1.89938605 -34.99130000
1.90768030 -34.99140000
1.91597457 -34.99140000
1.92426883 -34.99150000
1.93256310 -34.99150000
1.94085735 -34.99150000
1.94915163 -34.99150000
1.95744588 -34.99150000
1.96574015 -34.99150000
1.96574015 -34.99150000
1.98010624 -34.99160000
1.99447235 -34.99170000
2.00883844 -34.99180000
2.02320455 -34.99200000
2.03757064 -34.99220000
2.05193673 -34.99250000
2.06630284 -34.99290000
2.08066893 -34.99330000
2.09503504 -34.99380000
2.10940113 -34.99430000
2.12376722 -34.99490000
2.13813333 -34.99550000
2.15249942 -34.99620000
2.16686551 -34.99690000
2.18123162 -34.99770000
2.19559771 -34.99850000
2.20996383 -34.99930000
2.22432991 -35.00020000
2.23869600 -35.00120000
2.25306212 -35.00220000
2.26742820 -35.00320000
2.28179432 -35.00420000
2.29616041 -35.00530000
2.31052649 -35.00650000
2.32489261 -35.00760000
2.33925870 -35.00880000
2.35362481 -35.01000000
2.36799090 -35.01130000
2.38235699 -35.01260000
2.39672310 -35.01390000
2.41108919 -35.01520000
2.42545530 -35.01650000
2.43982139 -35.01790000
2.45418748 -35.01920000
2.46855359 -35.02060000
2.48291968 -35.02200000
2.49728579 -35.02340000
2.51165188 -35.02480000
2.52601797 -35.02620000
2.54038408 -35.02760000
2.55475017 -35.02900000
2.56911626 -35.03040000
2.58348237 -35.03060000
2.59784846 -35.02360000
2.61221457 -35.01670000
2.62658066 -35.00990000
2.64094675 -35.00310000
2.65531286 -34.99640000
2.66967895 -34.98980000
2.68404506 -34.98330000
2.69841115 -34.97690000
2.71277724 -34.97060000
2.72714335 -34.96440000
2.74150944 -34.95840000
2.75587555 -34.95250000
2.77024164 -34.94680000
2.78460773 -34.94120000
2.79897384 -34.93580000
2.81333993 -34.93060000
2.82770604 -34.92560000
2.84207213 -34.92080000
2.85643822 -34.91620000
2.87080433 -34.91190000
2.88517042 -34.90770000
2.89953653 -34.90380000
2.91390262 -34.90010000
2.92826871 -34.89670000
2.94263482 -34.89350000
2.95700091 -34.89060000
2.97136700 -34.88800000
2.98573311 -34.88560000
3.00009920 -34.88350000
3.01446531 -34.88160000
3.02883140 -34.88000000
3.04319749 -34.87880000
3.05756360 -34.87780000
3.07192969 -34.87700000
3.08629580 -34.87660000
3.10066189 -34.87650000

0.00000000 -34.87650000
0.01658854 -34.87650000
0.03317705 -34.87660000
0.04976559 -34.87690000
0.06635409 -34.87720000
0.08294264 -34.87760000
0.09953114 -34.87800000
0.11611968 -34.87860000
0.13270819 -34.87930000
0.14929673 -34.88000000
0.16588523 -34.88080000
0.18247377 -34.88170000
0.19906228 -34.88270000
0.21565082 -34.88380000
0.23223932 -34.88500000
0.24882787 -34.88630000
0.26541637 -34.88760000
0.28200491 -34.88910000
0.29859342 -34.89060000
0.31518196 -34.89220000
0.33177046 -34.89390000
0.34835901 -34.89570000
0.36494751 -34.89760000
0.38153605 -34.89960000
0.39812456 -34.90170000
0.41471310 -34.90380000
0.43130160 -34.90600000
0.44789015 -34.90840000
0.46447865 -34.91080000
0.48106719 -34.91330000
0.49765570 -34.91590000
0.51424424 -34.91850000
0.53083274 -34.92130000
0.54742129 -34.92420000
0.56400979 -34.92710000
0.58059833 -34.93010000
0.59718683 -34.93320000
0.61377538 -34.93640000
0.63036388 -34.93960000
0.64695242 -34.94300000
0.66354093 -34.94640000
0.68012947 -34.94990000
0.69671797 -34.95350000
0.71330652 -34.95710000
0.72989502 -34.96090000
0.74648356 -34.96460000
0.76307207 -34.96850000
0.77966061 -34.97240000
0.79624911 -34.97640000
0.81283766 -34.98050000
0.82942616 -34.98460000
0.84601470 -34.98880000
0.86260321 -34.99300000
0.87919175 -34.99730000
0.89578025 -34.99720000
0.91236880 -34.99600000
0.92895730 -34.99490000
0.94554584 -34.99380000
0.96213435 -34.99280000
0.97872289 -34.99180000
0.99531139 -34.99090000
1.01189993 -34.99000000
1.02848844 -34.98920000
1.04507698 -34.98840000
1.06166548 -34.98770000
1.07825403 -34.98700000
1.09484253 -34.98640000
1.11143107 -34.98590000
1.12801958 -34.98530000
1.14460812 -34.98490000
1.16119662 -34.98450000
1.17778517 -34.98410000
1.19437367 -34.98380000
1.21096221 -34.98350000
1.22755072 -34.98330000
1.24413926 -34.98310000
1.26072776 -34.98290000
1.27731631 -34.98280000
1.29390481 -34.98280000
1.31049335 -34.98280000
1.31049335 -34.98280000
1.31878762 -34.98280000
1.32708188 -34.98280000
1.33537615 -34.98280000
1.34367040 -34.98280000
1.35196468 -34.98290000
1.36025893 -34.98290000
1.36855320 -34.98300000
1.37684746 -34.98300000
