# energy dos
-2.493890000000000029e+01 0.000000000000000000e+00
-2.475440000000000040e+01 0.000000000000000000e+00
-2.456990000000000052e+01 0.000000000000000000e+00
-2.438550000000000040e+01 0.000000000000000000e+00
-2.420100000000000051e+01 0.000000000000000000e+00
-2.401660000000000039e+01 0.000000000000000000e+00
-2.383210000000000051e+01 0.000000000000000000e+00
-2.364760000000000062e+01 0.000000000000000000e+00
-2.346320000000000050e+01 0.000000000000000000e+00
-2.327870000000000061e+01 0.000000000000000000e+00
-2.309430000000000049e+01 0.000000000000000000e+00
-2.290980000000000061e+01 0.000000000000000000e+00
-2.272530000000000072e+01 0.000000000000000000e+00
-2.254090000000000060e+01 0.000000000000000000e+00
-2.235640000000000072e+01 0.000000000000000000e+00
-2.217200000000000060e+01 0.000000000000000000e+00
-2.198750000000000071e+01 0.000000000000000000e+00
-2.180300000000000082e+01 0.000000000000000000e+00
-2.161860000000000070e+01 0.000000000000000000e+00
-2.143410000000000082e+01 0.000000000000000000e+00
-2.124970000000000070e+01 0.000000000000000000e+00
-2.106520000000000081e+01 0.000000000000000000e+00
-2.088070000000000093e+01 0.000000000000000000e+00
-2.069630000000000081e+01 0.000000000000000000e+00
-2.051180000000000092e+01 0.000000000000000000e+00
-2.032740000000000080e+01 0.000000000000000000e+00
-2.014290000000000092e+01 0.000000000000000000e+00
-1.995840000000000103e+01 0.000000000000000000e+00
-1.977400000000000091e+01 0.000000000000000000e+00
-1.958950000000000102e+01 0.000000000000000000e+00
-1.940510000000000090e+01 0.000000000000000000e+00
-1.922060000000000102e+01 0.000000000000000000e+00
-1.903610000000000113e+01 0.000000000000000000e+00
-1.885170000000000101e+01 0.000000000000000000e+00
-1.866720000000000113e+01 0.000000000000000000e+00
-1.848280000000000101e+01 0.000000000000000000e+00
-1.829830000000000112e+01 0.000000000000000000e+00
-1.811380000000000123e+01 0.000000000000000000e+00
-1.792940000000000111e+01 0.000000000000000000e+00
-1.774490000000000123e+01 0.000000000000000000e+00
-1.756050000000000111e+01 0.000000000000000000e+00
-1.737600000000000122e+01 0.000000000000000000e+00
-1.719149999999999778e+01 0.000000000000000000e+00
-1.700710000000000122e+01 0.000000000000000000e+00
-1.682259999999999778e+01 0.000000000000000000e+00
-1.663820000000000121e+01 0.000000000000000000e+00
-1.645369999999999777e+01 0.000000000000000000e+00
-1.626919999999999789e+01 0.000000000000000000e+00
-1.608479999999999777e+01 0.000000000000000000e+00
-1.590029999999999788e+01 0.000000000000000000e+00
-1.571589999999999776e+01 0.000000000000000000e+00
-1.553139999999999787e+01 0.000000000000000000e+00
-1.534689999999999799e+01 0.000000000000000000e+00
-1.516249999999999787e+01 0.000000000000000000e+00
-1.497799999999999798e+01 0.000000000000000000e+00
-1.479359999999999786e+01 0.000000000000000000e+00
-1.460909999999999798e+01 0.000000000000000000e+00
-1.442459999999999809e+01 0.000000000000000000e+00
-1.424019999999999797e+01 0.000000000000000000e+00
-1.405569999999999808e+01 3.799999999999999992e-03
-1.387129999999999797e+01 4.404000000000000137e-01
-1.368679999999999808e+01 5.978999999999999870e-01
-1.350229999999999819e+01 5.642000000000000348e-01
-1.331789999999999807e+01 6.590000000000000302e-01
-1.313339999999999819e+01 6.828999999999999515e-01
-1.294899999999999807e+01 7.856999999999999540e-01
-1.276449999999999818e+01 9.212000000000000188e-01
-1.257999999999999829e+01 2.240299999999999958e+00
-1.239559999999999818e+01 2.976799999999999891e+00
-1.221109999999999829e+01 4.352299999999999613e+00
-1.202669999999999817e+01 5.252799999999999692e+00
-1.184219999999999828e+01 2.205099999999999838e+00
-1.165769999999999840e+01 0.000000000000000000e+00
-1.147329999999999828e+01 0.000000000000000000e+00
-1.128879999999999839e+01 0.000000000000000000e+00
-1.110439999999999827e+01 0.000000000000000000e+00
-1.091989999999999839e+01 0.000000000000000000e+00
-1.073539999999999850e+01 0.000000000000000000e+00
-1.055100000000000193e+01 0.000000000000000000e+00
-1.036650000000000205e+01 0.000000000000000000e+00
-1.018210000000000193e+01 0.000000000000000000e+00
-9.997600000000002041e+00 0.000000000000000000e+00
-9.813100000000002154e+00 0.000000000000000000e+00
-9.628700000000002035e+00 0.000000000000000000e+00
-9.444200000000002149e+00 0.000000000000000000e+00
-9.259800000000002029e+00 0.000000000000000000e+00
-9.075300000000002143e+00 0.000000000000000000e+00
-8.890799999999998704e+00 0.000000000000000000e+00
-8.706400000000002137e+00 0.000000000000000000e+00
-8.521899999999998698e+00 0.000000000000000000e+00
-8.337500000000002132e+00 0.000000000000000000e+00
-8.152999999999998693e+00 0.000000000000000000e+00
-7.968499999999999694e+00 0.000000000000000000e+00
-7.784099999999999575e+00 0.000000000000000000e+00
-7.599599999999999689e+00 0.000000000000000000e+00
-7.415199999999999569e+00 0.000000000000000000e+00
-7.230699999999999683e+00 0.000000000000000000e+00
-7.046199999999999797e+00 0.000000000000000000e+00
-6.861799999999999677e+00 0.000000000000000000e+00
-6.677299999999999791e+00 0.000000000000000000e+00
-6.492899999999999672e+00 0.000000000000000000e+00
-6.308399999999999785e+00 0.000000000000000000e+00
-6.123899999999999899e+00 0.000000000000000000e+00
-5.939499999999999780e+00 0.000000000000000000e+00
-5.754999999999999893e+00 2.999999999999999737e-04
-5.570599999999999774e+00 8.134000000000000119e-01
-5.386099999999999888e+00 1.622900000000000009e+00
-5.201699999999999768e+00 2.517500000000000071e+00
-5.017199999999999882e+00 4.132299999999999862e+00
-4.832699999999999996e+00 3.811100000000000154e+00
-4.648299999999999876e+00 1.559399999999999897e+00
-4.463799999999999990e+00 1.320699999999999985e+00
-4.279399999999999871e+00 9.808000000000000052e-01
-4.094899999999999984e+00 5.572000000000000286e-01
-3.910400000000000098e+00 4.942300000000000360e+00
-3.725999999999999979e+00 4.815500000000000114e+00
-3.541500000000000092e+00 1.657699999999999951e+00
-3.357099999999999973e+00 1.078600000000000003e+00
-3.172600000000000087e+00 5.216300000000000381e+00
-2.988100000000000200e+00 3.682500000000000107e+00
-2.803700000000000081e+00 2.323399999999999910e+00
-2.619200000000000195e+00 1.709500000000000020e+00
-2.434800000000000075e+00 1.606700000000000017e+00
-2.250300000000000189e+00 2.081700000000000106e+00
-2.065800000000000303e+00 2.340199999999999836e+00
-1.881400000000000183e+00 3.567400000000000126e+00
-1.696900000000000297e+00 4.066399999999999793e+00
-1.512500000000000178e+00 2.787500000000000089e+00
-1.328000000000000291e+00 2.059000000000000163e+00
-1.143500000000000405e+00 2.160299999999999887e+00
-9.591000000000002856e-01 2.130199999999999871e+00
-7.746000000000003993e-01 3.310200000000000031e+00
-5.902000000000002800e-01 2.612899999999999778e+00
-4.057000000000003936e-01 2.063600000000000101e+00
-2.212000000000005073e-01 1.384200000000000097e+00
-3.680000000000038796e-02 8.146999999999999797e-01
1.476999999999994984e-01 1.615999999999999936e-01
3.320999999999996177e-01 0.000000000000000000e+00
5.165999999999995040e-01 0.000000000000000000e+00
7.010999999999993904e-01 0.000000000000000000e+00
8.854999999999995097e-01 0.000000000000000000e+00
1.069999999999999396e+00 0.000000000000000000e+00
1.254399999999999515e+00 0.000000000000000000e+00
1.438899999999999402e+00 3.039999999999999994e-02
1.623399999999999732e+00 3.906000000000000028e-01
1.807799999999999407e+00 7.285000000000000364e-01
1.992299999999999738e+00 5.068800000000000416e+00
2.176699999999999413e+00 3.883700000000000152e+00
