#k-distance eigenvalue[eV]
0.58646296 -34.86540000
0.60321902 -34.86890000
0.61997513 -34.87240000
0.63673119 -34.87600000
0.65348730 -34.87980000
0.67024336 -34.88360000
0.68699946 -34.88750000
0.70375553 -34.89140000
0.72051163 -34.89550000
0.73726770 -34.89960000
0.75402380 -34.90390000
0.77077986 -34.90820000
0.78753597 -34.91260000
0.80429203 -34.91700000
0.82104814 -34.92150000
0.83780420 -34.92610000
0.85456030 -34.93080000
0.87131637 -34.93550000
0.88807247 -34.94020000
0.90482854 -34.94510000
0.92158464 -34.94990000
0.93834070 -34.95140000
0.95509681 -34.95020000
0.97185287 -34.94910000
0.98860898 -34.94800000
1.00536504 -34.94690000
1.02212114 -34.94600000
1.03887721 -34.94500000
1.05563331 -34.94420000
1.07238938 -34.94330000
1.08914548 -34.94260000
1.10590154 -34.94190000
1.12265765 -34.94130000
1.13941371 -34.94070000
1.15616982 -34.94010000
1.17292588 -34.93970000
1.18968198 -34.93930000
1.20643805 -34.93890000
1.22319415 -34.93860000
1.23995022 -34.93830000
1.25670632 -34.93810000
1.27346238 -34.93800000
1.29021849 -34.93780000
1.30697455 -34.93780000
1.32373066 -34.93780000
1.32373066 -34.93780000
1.33210871 -34.93780000
1.34048674 -34.93780000
1.34886480 -34.93780000
1.35724283 -34.93780000
1.36562088 -34.93790000
1.37399892 -34.93790000
1.38237697 -34.93800000
1.39075500 -34.93810000
1.39913306 -34.93820000
1.40751109 -34.93820000
1.41588914 -34.93830000
1.42426718 -34.93840000
1.43264523 -34.93860000
1.44102327 -34.93870000
1.44940132 -34.93880000
1.45777935 -34.93890000
1.46615741 -34.93910000
1.47453544 -34.93920000
1.48291349 -34.93930000
1.49129153 -34.93950000
1.49966958 -34.93970000
1.50804761 -34.93980000
1.51642567 -34.94000000
1.52480370 -34.94020000
1.53318176 -34.94030000
1.54155979 -34.94050000
1.54993784 -34.94070000
1.55831588 -34.94090000
1.56669393 -34.94110000
1.57507196 -34.94120000
1.58345002 -34.94140000
1.59182805 -34.94160000
1.60020610 -34.94180000
1.60858414 -34.94200000
1.61696219 -34.94220000
1.62534023 -34.94240000
1.63371828 -34.94260000
1.64209631 -34.94280000
1.65047437 -34.94300000
1.65885240 -34.94320000
1.66723045 -34.94340000
1.67560849 -34.94360000
1.68398654 -34.94370000
1.69236457 -34.94390000
1.70074263 -34.94330000
1.70912066 -34.94080000
1.71749871 -34.93840000
1.72587675 -34.93600000
1.73425480 -34.93360000
1.74263284 -34.93130000
1.75101089 -34.92910000
1.75938892 -34.92690000
1.76776698 -34.92480000
1.77614501 -34.92280000
1.78452306 -34.92080000
1.79290110 -34.91890000
1.80127915 -34.91700000
1.80965718 -34.91530000
1.81803524 -34.91360000
1.82641327 -34.91190000
