#k-distance eigenvalue[eV]
1.06788354 -36.69580000
1.07900733 -36.69640000
1.09013113 -36.69690000
1.10125493 -36.69740000
1.11237868 -36.69790000
1.12350248 -36.69830000
1.13462628 -36.69880000
1.14575007 -36.69910000
1.15687387 -36.69950000
1.16799763 -36.69980000
1.17912142 -36.70010000
1.19024522 -36.70040000
1.20136901 -36.70060000
1.21249277 -36.70080000
1.22361657 -36.70100000
1.23474036 -36.70120000
1.24586416 -36.70130000
1.25698792 -36.70140000
1.26811171 -36.70150000
1.27923551 -36.70160000
1.29035931 -36.70170000
1.30148306 -36.70170000
1.31260686 -36.70170000
1.32373066 -36.70170000
1.32373066 -36.70170000
1.32929255 -36.70170000
1.33485449 -36.70170000
1.34041639 -36.70170000
1.34597829 -36.70170000
1.35154023 -36.70170000
1.35710212 -36.70170000
1.36266402 -36.70160000
1.36822592 -36.70160000
1.37378786 -36.70160000
1.37934976 -36.70160000
1.38491165 -36.70150000
1.39047359 -36.70150000
1.39603549 -36.70150000
1.40159739 -36.70140000
1.40715933 -36.70140000
1.41272122 -36.70130000
1.41828312 -36.70130000
1.42384502 -36.70130000
1.42940696 -36.70120000
1.43496886 -36.70120000
1.44053076 -36.70110000
1.44609269 -36.70110000
1.45165459 -36.70100000
1.45721649 -36.70100000
1.46277843 -36.70090000
1.46834033 -36.70090000
1.47390222 -36.70080000
1.47946412 -36.70080000
1.48502606 -36.70070000
1.49058796 -36.70070000
1.49614986 -36.70060000
1.50171179 -36.70060000
1.50727369 -36.70050000
1.51283559 -36.70050000
1.51839753 -36.70040000
1.52395943 -36.70040000
1.52952132 -36.70030000
1.53508322 -36.70030000
1.54064516 -36.70020000
1.54620706 -36.70020000
1.55176896 -36.70010000
1.55733089 -36.70010000
1.56289279 -36.70000000
1.56845469 -36.70000000
1.57401663 -36.69990000
1.57957853 -36.69990000
1.58514043 -36.69990000
1.59070236 -36.69980000
1.59626426 -36.69980000
1.60182616 -36.69980000
1.60738806 -36.69970000
1.61295000 -36.69970000
1.61851189 -36.69970000
1.62407379 -36.69970000
1.62963573 -36.69960000
1.63519763 -36.69960000
1.64075953 -36.69960000
1.64632146 -36.69960000
1.65188336 -36.69960000
1.65744526 -36.69950000
1.66300716 -36.69950000
1.66856910 -36.69950000
1.67413099 -36.69950000
1.67969289 -36.69950000
1.68525483 -36.69950000
1.69081673 -36.69950000
1.69637863 -36.69950000
1.70194057 -36.69950000
1.70750246 -36.69960000
1.71306436 -36.69960000
1.71862626 -36.69960000
1.72418820 -36.69960000
1.72975010 -36.69960000
1.73531199 -36.69970000
1.74087393 -36.69970000
1.74643583 -36.69970000
1.75199773 -36.69970000
1.75755967 -36.69980000
1.76312156 -36.69980000
1.76868346 -36.69990000
1.77424540 -36.69990000
1.77980730 -36.70000000
1.78536920 -36.70000000
1.79093110 -36.70010000
1.79649303 -36.70010000
1.80205493 -36.70020000
1.80761683 -36.70030000
1.81317877 -36.70030000
1.81874067 -36.70040000
1.82430256 -36.70050000
1.82986450 -36.70060000
1.83542640 -36.70060000
1.84098830 -36.70070000
1.84655020 -36.70080000
1.85211213 -36.70090000
1.85767403 -36.70100000
1.86323593 -36.70110000
1.86879787 -36.70120000
1.87435977 -36.70130000
1.87992166 -36.70140000
1.88548360 -36.70150000
1.89104550 -36.70160000
1.89660740 -36.70170000
1.90216930 -36.70180000
1.90773123 -36.70200000
