#k-distance eigenvalue[eV]
1.02493033 -36.79910000
1.03583385 -36.79990000
1.04673733 -36.80060000
1.05764086 -36.80130000
1.06854438 -36.80200000
1.07944790 -36.80260000
1.09035139 -36.80320000
1.10125491 -36.80380000
1.11215843 -36.80430000
1.12306196 -36.80480000
1.13396548 -36.80530000
1.14486897 -36.80570000
1.15577249 -36.80610000
1.16667601 -36.80650000
1.17757953 -36.80680000
1.18848302 -36.80710000
1.19938654 -36.80740000
1.21029007 -36.80760000
1.22119359 -36.80780000
1.23209707 -36.80800000
1.24300060 -36.80810000
1.25390412 -36.80830000
1.26480764 -36.80830000
1.27571113 -36.80840000
1.28661465 -36.80850000
1.29751817 -36.80850000
1.29751817 -36.80850000
1.30296994 -36.80850000
1.30842174 -36.80850000
1.31387350 -36.80840000
1.31932526 -36.80840000
1.32477706 -36.80840000
1.33022882 -36.80840000
1.33568058 -36.80830000
1.34113234 -36.80830000
1.34658414 -36.80820000
1.35203591 -36.80820000
1.35748767 -36.80810000
1.36293947 -36.80800000
1.36839123 -36.80800000
1.37384299 -36.80790000
1.37929479 -36.80780000
1.38474655 -36.80770000
1.39019832 -36.80760000
1.39565008 -36.80750000
1.40110188 -36.80740000
1.40655364 -36.80730000
1.41200540 -36.80720000
1.41745720 -36.80710000
1.42290896 -36.80700000
1.42836072 -36.80690000
1.43381253 -36.80670000
1.43926429 -36.80660000
1.44471605 -36.80650000
1.45016781 -36.80630000
1.45561961 -36.80620000
1.46107137 -36.80610000
1.46652313 -36.80590000
1.47197493 -36.80580000
1.47742670 -36.80560000
1.48287846 -36.80540000
1.48833026 -36.80530000
1.49378202 -36.80510000
1.49923378 -36.80500000
1.50468554 -36.80480000
1.51013734 -36.80460000
1.51558911 -36.80440000
1.52104087 -36.80430000
1.52649267 -36.80410000
1.53194443 -36.80390000
1.53739619 -36.80370000
1.54284799 -36.80350000
1.54829975 -36.80340000
1.55375151 -36.80320000
1.55920331 -36.80300000
1.56465508 -36.80280000
1.57010684 -36.80260000
1.57555860 -36.80240000
1.58101040 -36.80220000
1.58646216 -36.80200000
1.59191392 -36.80180000
1.59736572 -36.80160000
1.60281749 -36.80140000
1.60826925 -36.80120000
1.61372105 -36.80100000
1.61917281 -36.80080000
1.62462457 -36.80060000
1.63007633 -36.80040000
1.63552813 -36.80020000
1.64097989 -36.80000000
1.64643166 -36.79980000
1.65188346 -36.79960000
1.65733522 -36.79940000
1.66278698 -36.79920000
1.66823878 -36.79900000
1.67369054 -36.79880000
1.67914230 -36.79850000
1.68459407 -36.79830000
1.69004587 -36.79810000
1.69549763 -36.79790000
1.70094939 -36.79770000
1.70640119 -36.79750000
1.71185295 -36.79730000
1.71730471 -36.79710000
1.72275651 -36.79690000
1.72820827 -36.79670000
1.73366004 -36.79650000
1.73911184 -36.79630000
1.74456360 -36.79610000
1.75001536 -36.79590000
1.75546712 -36.79570000
1.76091892 -36.79550000
1.76637068 -36.79530000
1.77182245 -36.79510000
1.77727425 -36.79490000
1.78272601 -36.79470000
1.78817777 -36.79450000
1.79362957 -36.79430000
1.79908133 -36.79420000
1.80453309 -36.79400000
1.80998485 -36.79380000
1.81543666 -36.79360000
1.82088842 -36.79340000
1.82634018 -36.79320000
1.83179198 -36.79310000
1.83724374 -36.79290000
1.84269550 -36.79270000
1.84814730 -36.79250000
1.85359906 -36.79240000
1.85905083 -36.79220000
1.86450259 -36.79200000
1.86995439 -36.79190000
1.87540615 -36.79170000
1.88085791 -36.79150000
1.88630971 -36.79140000
1.89176147 -36.79120000
1.89721324 -36.79110000
1.90266504 -36.79090000
1.90811680 -36.79080000
1.91356856 -36.79060000
1.91902032 -36.79050000
1.92447212 -36.79030000
1.92992388 -36.79020000
1.93537564 -36.79000000
1.94082744 -36.78990000
1.94627921 -36.78980000
1.94627921 -36.78980000
1.96263449 -36.79020000
1.97898978 -36.79060000
1.99534506 -36.79110000
2.01170035 -36.79150000
2.02805563 -36.79200000
2.04441092 -36.79250000
2.06076620 -36.79310000
2.07712152 -36.79360000
2.09347681 -36.79420000
2.10983209 -36.79470000
2.12618738 -36.79530000
2.14254266 -36.79590000
2.15889795 -36.79650000
2.17525323 -36.79710000
2.19160852 -36.79770000
2.20796380 -36.79830000
2.22431909 -36.79900000
2.24067437 -36.79960000
2.25702966 -36.80020000
2.27338494 -36.80080000
2.28974023 -36.80140000
2.30609551 -36.80200000
2.32245084 -36.80260000
2.33880612 -36.80320000
2.35516141 -36.80370000
2.37151669 -36.80430000
2.38787197 -36.80480000
2.40422726 -36.80530000
2.42058254 -36.80580000
2.43693783 -36.80620000
2.45329311 -36.80660000
2.46964840 -36.80700000
2.48600368 -36.80730000
2.50235897 -36.80760000
2.51871425 -36.80790000
2.53506954 -36.80810000
2.55142482 -36.80830000
2.56778015 -36.80840000
2.58413543 -36.80850000
2.60049072 -36.80850000
2.61684600 -36.80840000
2.63320129 -36.80830000
2.64955657 -36.80810000
2.66591186 -36.80790000
2.68226714 -36.80760000
2.69862243 -36.80720000
2.71497771 -36.80680000
2.73133300 -36.80630000
2.74768828 -36.80570000
2.76404356 -36.80500000
2.78039885 -36.80430000
2.79675413 -36.80350000
2.81310946 -36.80260000
2.82946474 -36.80160000
2.84582003 -36.80060000
2.86217531 -36.79950000
2.87853060 -36.79830000
2.89488588 -36.79700000
2.91124117 -36.79570000
2.92759645 -36.79430000
2.94395174 -36.79280000
2.96030702 -36.79120000
2.97666231 -36.78960000
2.99301759 -36.78790000
3.00937288 -36.78610000
3.02572816 -36.78430000
3.04208348 -36.78240000
3.05843877 -36.78040000
3.07479405 -36.77840000
3.09114934 -36.77640000
3.10750462 -36.77430000
3.12385991 -36.77210000
3.14021519 -36.76990000
3.15657048 -36.76770000
3.17292576 -36.76550000
3.18928105 -36.76320000
3.20563633 -36.76090000
3.22199162 -36.75850000
3.23834690 -36.75620000
3.25470219 -36.75380000
3.27105747 -36.75150000
3.28741280 -36.74910000
