#k-distance eigenvalue[eV]
1.56030671 -35.13070000
1.56851886 -35.12830000
1.57673099 -35.12590000
1.58494315 -35.12360000
1.59315528 -35.12130000
1.60136743 -35.11900000
1.60957956 -35.11670000
1.61779171 -35.11440000
1.62600384 -35.11220000
1.63421600 -35.11000000
1.64242813 -35.10790000
1.65064028 -35.10570000
1.65885241 -35.10360000
1.66706456 -35.10160000
1.67527669 -35.09960000
1.68348885 -35.09760000
1.69170098 -35.09570000
1.69991313 -35.09380000
1.70812526 -35.09200000
1.71633741 -35.09020000
1.72454955 -35.08840000
1.73276170 -35.08670000
1.74097383 -35.08510000
1.74918598 -35.08350000
1.75739811 -35.08200000
1.76561026 -35.08050000
1.77382240 -35.07970000
1.78203455 -35.07980000
1.79024668 -35.07990000
1.79845883 -35.08000000
1.80667096 -35.08000000
1.81488311 -35.08010000
1.82309525 -35.08020000
1.83130740 -35.08030000
1.83951953 -35.08040000
1.84773168 -35.08040000
1.85594381 -35.08050000
1.86415597 -35.08050000
1.87236810 -35.08060000
1.88058025 -35.08060000
1.88879238 -35.08070000
1.89700453 -35.08070000
1.90521666 -35.08070000
1.91342882 -35.08080000
1.92164095 -35.08080000
1.92985310 -35.08080000
1.93806523 -35.08080000
1.94627738 -35.08080000
1.94627738 -35.08080000
1.96050123 -35.08080000
1.97472511 -35.08090000
1.98894896 -35.08100000
2.00317283 -35.08120000
2.01739668 -35.08140000
2.03162053 -35.08170000
2.04584440 -35.08200000
2.06006826 -35.08240000
2.07429213 -35.08280000
2.08851598 -35.08330000
2.10273983 -35.08380000
2.11696370 -35.08430000
2.13118755 -35.08490000
2.14541140 -35.08560000
2.15963528 -35.08620000
2.17385913 -35.08700000
2.18808300 -35.08770000
2.20230685 -35.08850000
2.21653070 -35.08940000
2.23075457 -35.09020000
2.24497843 -35.09110000
2.25920230 -35.09210000
2.27342615 -35.09310000
2.28765000 -35.09410000
2.30187387 -35.09510000
2.31609772 -35.09610000
2.33032160 -35.09720000
2.34454545 -35.09830000
2.35876930 -35.09950000
2.37299317 -35.10060000
2.38721702 -35.10180000
2.40144089 -35.10300000
2.41566475 -35.10420000
2.42988860 -35.10540000
2.44411247 -35.10660000
2.45833632 -35.10780000
2.47256019 -35.10910000
2.48678404 -35.11030000
2.50100789 -35.11150000
2.51523177 -35.11280000
2.52945562 -35.11400000
2.54367947 -35.11530000
2.55790334 -35.11650000
2.57212719 -35.11770000
2.58635106 -35.11620000
2.60057492 -35.11000000
2.61479877 -35.10390000
2.62902264 -35.09790000
2.64324649 -35.09200000
2.65747036 -35.08610000
2.67169421 -35.08040000
2.68591806 -35.07470000
2.70014194 -35.06920000
2.71436579 -35.06380000
2.72858966 -35.05850000
2.74281351 -35.05340000
2.75703736 -35.04840000
2.77126124 -35.04360000
2.78548509 -35.03890000
2.79970896 -35.03440000
2.81393281 -35.03010000
2.82815666 -35.02600000
2.84238053 -35.02210000
2.85660438 -35.01840000
2.87082826 -35.01480000
2.88505211 -35.01160000
2.89927596 -35.00850000
2.91349983 -35.00560000
2.92772368 -35.00300000
2.94194753 -35.00060000
2.95617141 -34.99850000
2.97039526 -34.99660000
2.98461913 -34.99500000
2.99884298 -34.99360000
3.01306683 -34.99240000
3.02729070 -34.99150000
3.04151455 -34.99090000
3.05573843 -34.99050000
3.06996228 -34.99040000

0.00000000 -34.99040000
0.01642430 -34.99040000
0.03284856 -34.99050000
0.04927286 -34.99070000
0.06569712 -34.99100000
0.08212142 -34.99130000
0.09854568 -34.99180000
0.11496998 -34.99230000
0.13139424 -34.99290000
0.14781854 -34.99350000
0.16424280 -34.99430000
0.18066710 -34.99510000
0.19709137 -34.99600000
0.21351567 -34.99700000
0.22993993 -34.99800000
0.24636423 -34.99920000
0.26278849 -35.00040000
0.27921279 -35.00170000
0.29563705 -35.00310000
0.31206135 -35.00450000
0.32848561 -35.00610000
0.34490991 -35.00770000
0.36133417 -35.00940000
0.37775847 -35.01120000
0.39418273 -35.01300000
0.41060703 -35.01500000
0.42703129 -35.01700000
0.44345559 -35.01910000
0.45987985 -35.02120000
0.47630415 -35.02350000
0.49272841 -35.02580000
0.50915271 -35.02820000
0.52557697 -35.03070000
0.54200127 -35.03330000
0.55842553 -35.03590000
0.57484983 -35.03860000
0.59127410 -35.04140000
0.60769840 -35.04420000
0.62412266 -35.04720000
0.64054696 -35.05020000
0.65697122 -35.05330000
0.67339552 -35.05640000
0.68981978 -35.05960000
0.70624408 -35.06290000
0.72266834 -35.06620000
0.73909264 -35.06960000
0.75551690 -35.07310000
0.77194120 -35.07660000
0.78836546 -35.08020000
0.80478976 -35.08390000
0.82121402 -35.08760000
0.83763832 -35.08910000
0.85406258 -35.08800000
0.87048688 -35.08690000
0.88691114 -35.08580000
0.90333544 -35.08480000
0.91975970 -35.08380000
0.93618400 -35.08280000
0.95260826 -35.08190000
0.96903256 -35.08110000
0.98545683 -35.08020000
1.00188113 -35.07950000
1.01830539 -35.07870000
1.03472969 -35.07800000
1.05115395 -35.07740000
1.06757825 -35.07680000
1.08400251 -35.07630000
1.10042681 -35.07580000
1.11685107 -35.07530000
1.13327537 -35.07490000
1.14969963 -35.07450000
1.16612393 -35.07420000
1.18254819 -35.07390000
1.19897249 -35.07370000
1.21539675 -35.07350000
1.23182105 -35.07330000
1.24824531 -35.07320000
1.26466961 -35.07310000
1.28109387 -35.07300000
1.29751817 -35.07300000
1.29751817 -35.07300000
1.30573032 -35.07300000
1.31394246 -35.07300000
1.32215461 -35.07300000
