# energy dos(up) dos(down)
-3.723750000000000426e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.722710000000000008e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.721670000000000300e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.720620000000000260e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.719579999999999842e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.718540000000000134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.717500000000000426e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.716450000000000387e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.715409999999999968e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.714370000000000260e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.713320000000000221e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.712279999999999802e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.711240000000000094e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.710190000000000055e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.709150000000000347e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.708109999999999928e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.707070000000000221e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.706020000000000181e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.704980000000000473e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.703940000000000055e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.702890000000000015e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.701850000000000307e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.700809999999999889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.699759999999999849e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.698720000000000141e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.697680000000000433e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.696640000000000015e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.695589999999999975e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.694550000000000267e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.693509999999999849e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.692459999999999809e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.691420000000000101e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.690380000000000393e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.689330000000000354e+01 0.000000000000000000e+00 -0.000000000000000000e+00
